project_id,state,district,latitude,longitude,project_type,implementing_department,land_area_hectares,families_affected,compensation_assessed_inr,compensation_disbursed_pct,legal_disputes_count,notification_date,approval_stage,rr_progress_pct,stakeholder_responsiveness,historical_dept_avg_delay_days,last_activity_date,risk_score_raw,delayed,delay_days,project_budget,status,actual_end_date,action_taken,final_outcome,created_by
LA-2022-0010,Karnataka,Mysuru,15.4014,75.2305,Irrigation/Water Res.,State Water Resources Dept,4.2,36,39443000,79.4,0,2022-12-20,Stage 4 of 5,52.0,Medium,120,2026-08-29,0.095,N,1,246280000,Completed,2025-05-18,,On Time,seed_officer_007
LA-2025-0011,Maharashtra,Pune,19.8461,75.6401,Irrigation/Water Res.,State Water Resources Dept,25.7,47,217086000,27.4,0,2025-05-28,Stage 1 of 5,14.3,Medium,172,2026-09-03,0.319,Y,381,1353940000,Ongoing,,False,,seed_officer_007
LA-2020-0012,Gujarat,Vadodara,22.4236,71.4637,Urban Infra/Metro,Urban Dev. Authority,2.7,16,13241000,55.3,1,2020-10-20,Stage 2 of 5,40.2,Low,161,2026-05-08,0.376,Y,181,47690000,Completed,2024-09-27,False,Delayed - Unresolved,seed_officer_039
LA-2022-0013,Tamil Nadu,Madurai,11.0306,78.3542,Railway,Ministry of Railways,13.7,46,82197000,78.0,0,2022-08-08,Stage 3 of 5,63.0,Low,238,2026-08-21,0.16,N,11,300900000,Completed,2025-09-30,,On Time,seed_officer_030
LA-2021-0014,Tamil Nadu,Tiruchirappalli,10.5589,78.7598,Urban Infra/Metro,State Metro Rail Corp,32.5,20,165723000,89.2,0,2021-10-10,Stage 4 of 5,64.4,Low,244,2026-08-22,0.075,N,0,762610000,Completed,2026-06-03,,On Time,seed_officer_025
LA-2022-0015,Andhra Pradesh,Visakhapatnam,16.3268,79.1679,Industrial Corridor,DMIC/NICDC,5.3,16,38762000,60.2,0,2022-04-09,Stage 3 of 5,29.0,Medium,335,2026-08-26,0.356,Y,700,145660000,Ongoing,,False,,seed_officer_040
LA-2023-0016,Uttar Pradesh,Meerut,27.0625,81.2341,Highway,State PWD,29.1,12,130956000,30.8,5,2023-05-22,Stage 3 of 5,20.1,High,226,2026-07-22,0.688,Y,219,460300000,Ongoing,,False,,seed_officer_037
LA-2024-0017,Odisha,Cuttack,21.2992,84.6079,Railway,Ministry of Railways,108.1,425,969098000,89.6,0,2024-05-28,Stage 5 of 5,77.0,High,206,2026-08-04,0.0,N,7,5404260000,Ongoing,,,,seed_officer_003
LA-2022-0018,Gujarat,Surat,21.9386,71.29,Power Transmission,State Electricity Board,11.6,37,76482000,34.7,0,2022-10-09,Stage 1 of 5,9.1,High,305,2026-08-29,0.287,N,0,474280000,Completed,2025-05-13,,On Time,seed_officer_006
LA-2023-0019,Odisha,Cuttack,21.339,85.3916,Industrial Corridor,State Industrial Dev. Corp,6.7,20,19386000,35.6,8,2023-02-02,Stage 5 of 5,32.5,Low,199,2026-05-13,0.893,Y,481,67040000,Stalled,,False,Shelved,seed_officer_025
LA-2025-0020,Tamil Nadu,Madurai,11.2283,79.1383,Highway,State PWD,14.9,112,70868000,46.4,1,2025-12-17,Stage 3 of 5,31.7,Medium,352,2026-08-31,0.201,N,4,428880000,Ongoing,,,,seed_officer_024
LA-2022-0021,Madhya Pradesh,Indore,22.8734,78.7543,Power Transmission,State Electricity Board,5.4,27,46184000,49.7,0,2022-10-08,Stage 2 of 5,41.4,High,173,2026-06-10,0.301,Y,47,147750000,Ongoing,,False,,seed_officer_023
LA-2022-0022,Gujarat,Surat,22.5815,71.7261,Power Transmission,State Electricity Board,9.6,32,92111000,82.2,0,2022-03-22,Stage 5 of 5,69.9,Medium,134,2026-07-18,0.049,N,25,549320000,Completed,2024-07-30,,On Time,seed_officer_005
LA-2024-0023,Bihar,Darbhanga,24.6569,84.7476,Industrial Corridor,State Industrial Dev. Corp,36.7,362,130366000,86.0,0,2024-01-10,Stage 4 of 5,64.4,Medium,224,2026-08-31,0.0,N,36,511800000,Completed,2026-06-12,,On Time,seed_officer_035
LA-2021-0024,Madhya Pradesh,Indore,22.5499,79.1688,Railway,Ministry of Railways,96.1,286,556011000,65.7,0,2021-06-02,Stage 4 of 5,34.1,Medium,370,2026-07-18,0.358,Y,261,2393170000,Ongoing,,False,,seed_officer_030
LA-2024-0025,West Bengal,Nadia,23.1091,87.5236,Power Transmission,State Electricity Board,5.2,10,31803000,62.7,0,2024-10-14,Stage 2 of 5,53.7,Low,244,2026-08-05,0.272,N,1,95170000,Ongoing,,,,seed_officer_036
LA-2020-0026,Maharashtra,Nagpur,19.4838,76.0813,Industrial Corridor,DMIC/NICDC,10.2,28,60359000,66.2,0,2020-09-17,Stage 3 of 5,48.4,High,169,2026-08-31,0.242,N,7,202900000,Completed,2020-12-25,,On Time,seed_officer_004
LA-2025-0027,Maharashtra,Nagpur,19.538,75.3676,Railway,Ministry of Railways,75.1,514,458201000,90.8,0,2025-12-13,Stage 4 of 5,97.1,Medium,280,2026-09-02,0.056,N,14,1835380000,Ongoing,,,,seed_officer_021
LA-2021-0028,Andhra Pradesh,Kurnool,16.4333,79.149,Highway,State PWD,13.7,62,45431000,54.3,0,2021-10-10,Stage 2 of 5,47.1,Medium,272,2026-09-04,0.28,N,3,193250000,Completed,2026-01-19,,On Time,seed_officer_005
LA-2023-0029,Karnataka,Mysuru,15.3531,75.9626,Industrial Corridor,DMIC/NICDC,8.3,35,42146000,50.0,1,2023-10-16,Stage 3 of 5,36.5,Medium,223,2026-08-17,0.354,Y,819,191770000,Ongoing,,False,,seed_officer_014
LA-2023-0030,Rajasthan,Alwar,27.5818,73.7671,Industrial Corridor,DMIC/NICDC,17.8,62,147884000,75.5,0,2023-11-09,Stage 4 of 5,68.7,Low,246,2026-08-23,0.162,N,5,516000000,Completed,2024-05-14,,On Time,seed_officer_030
LA-2020-0031,Bihar,Gaya,24.9484,85.2683,Highway,State PWD,16.7,185,177528000,4.1,2,2020-10-13,Stage 1 of 5,0.0,Medium,118,2026-05-26,0.587,Y,211,507890000,Stalled,,False,Shelved,seed_officer_009
LA-2024-0032,Karnataka,Mysuru,15.6516,75.2857,Highway,State PWD,42.5,154,136740000,97.7,2,2024-01-09,Stage 5 of 5,78.6,Low,192,2026-08-23,0.282,N,15,528880000,Completed,2024-06-12,,On Time,seed_officer_038
LA-2021-0033,Tamil Nadu,Salem,11.5193,79.2078,Railway,State Railway Infra Corp,39.5,108,281773000,51.4,0,2021-10-06,Stage 3 of 5,44.8,Medium,257,2026-08-26,0.26,N,2,1038440000,Completed,2023-11-22,,On Time,seed_officer_024
LA-2023-0034,Maharashtra,Nagpur,19.2766,76.1224,Power Transmission,Power Grid Corp,24.5,73,96628000,91.2,0,2023-06-16,Stage 5 of 5,60.6,Low,365,2026-09-02,0.182,N,0,420790000,Completed,2025-03-13,,On Time,seed_officer_033
LA-2026-0035,Rajasthan,Alwar,27.5314,74.1767,Railway,Ministry of Railways,9.7,45,88804000,69.2,0,2026-02-18,Stage 3 of 5,56.5,Medium,242,2026-08-31,0.097,N,48,381260000,Ongoing,,,,seed_officer_004
LA-2025-0036,Maharashtra,Satara,20.3477,75.7165,Irrigation/Water Res.,State Water Resources Dept,26.2,102,232245000,78.8,0,2025-06-19,Stage 4 of 5,70.0,Low,327,2026-08-28,0.198,N,11,931210000,Ongoing,,,,seed_officer_010
LA-2026-0037,Odisha,Cuttack,20.4753,84.8997,Highway,State PWD,84.5,155,513204000,54.4,0,2026-02-03,Stage 2 of 5,45.3,Low,200,2026-09-03,0.281,N,0,1655590000,Ongoing,,,,seed_officer_039
LA-2025-0038,Uttar Pradesh,Lucknow,27.03,80.632,Highway,State PWD,6.0,43,55784000,33.5,1,2025-10-25,Stage 2 of 5,30.8,Medium,138,2026-05-21,0.378,Y,370,202890000,Ongoing,,True,,seed_officer_025
LA-2022-0039,Rajasthan,Alwar,26.8595,73.659,Power Transmission,State Electricity Board,47.8,104,397642000,56.8,5,2022-01-23,Stage 4 of 5,47.9,High,147,2026-08-24,0.523,Y,315,2235560000,Ongoing,,False,,seed_officer_036
LA-2021-0040,Gujarat,Ahmedabad,21.8647,70.9192,Highway,NHAI,3.5,7,24792000,45.4,1,2021-10-02,Stage 2 of 5,47.7,Low,92,2026-08-09,0.3,N,12,107380000,Completed,2024-09-29,,On Time,seed_officer_035
LA-2022-0041,Gujarat,Vadodara,21.7151,70.7919,Industrial Corridor,DMIC/NICDC,130.1,554,678386000,89.0,0,2022-01-23,Stage 5 of 5,81.0,Medium,182,2026-08-31,0.0,N,11,2131240000,Completed,2024-01-17,,On Time,seed_officer_008
LA-2026-0042,West Bengal,Hooghly,22.5724,88.003,Railway,State Railway Infra Corp,14.7,21,105637000,36.4,0,2026-03-04,Stage 2 of 5,37.2,Low,288,2026-08-02,0.16,N,1,595600000,Ongoing,,,,seed_officer_011
LA-2024-0043,West Bengal,Nadia,22.922,87.4772,Irrigation/Water Res.,State Water Resources Dept,46.0,228,366432000,99.9,0,2024-04-14,Stage 5 of 5,98.5,Low,294,2026-06-11,0.063,N,13,1403090000,Ongoing,,,,seed_officer_017
LA-2025-0044,Bihar,Darbhanga,24.8715,84.8577,Industrial Corridor,State Industrial Dev. Corp,18.2,62,155922000,69.8,4,2025-03-08,Stage 5 of 5,60.3,Low,163,2026-09-03,0.366,Y,553,731830000,Ongoing,,False,,seed_officer_033
LA-2024-0045,Odisha,Khordha,20.7342,85.2496,Power Transmission,State Electricity Board,4.9,32,42730000,67.8,0,2024-02-11,Stage 2 of 5,51.1,Low,118,2026-08-27,0.151,N,6,144140000,Completed,2024-10-12,,On Time,seed_officer_033
LA-2026-0046,Maharashtra,Thane,19.577,75.4586,Highway,NHAI,2.9,8,12177000,53.7,0,2026-01-14,Stage 2 of 5,47.7,High,196,2026-08-13,0.196,N,7,62090000,Ongoing,,,,seed_officer_010
LA-2023-0047,Rajasthan,Udaipur,26.5682,73.6742,Railway,Ministry of Railways,25.1,138,113629000,89.4,2,2023-05-15,Stage 5 of 5,86.4,Low,130,2026-08-27,0.29,N,3,423060000,Completed,2024-01-23,,On Time,seed_officer_035
LA-2023-0048,Uttar Pradesh,Meerut,26.4021,81.4127,Urban Infra/Metro,State Metro Rail Corp,21.3,105,133190000,29.4,3,2023-07-02,Stage 2 of 5,18.7,High,220,2026-06-05,0.607,Y,455,412480000,Ongoing,,False,,seed_officer_039
LA-2021-0049,Gujarat,Vadodara,22.7005,70.8867,Highway,State PWD,35.7,94,314966000,41.4,5,2021-08-21,Stage 4 of 5,33.5,Medium,183,2026-02-05,0.554,Y,461,1252380000,Stalled,,True,Delayed - Unresolved,seed_officer_002
LA-2025-0050,Uttar Pradesh,Lucknow,26.987,81.5236,Irrigation/Water Res.,State Water Resources Dept,32.4,37,242990000,28.2,0,2025-02-04,Stage 1 of 5,35.0,Low,299,2026-08-29,0.41,Y,661,798790000,Ongoing,,False,,seed_officer_020
LA-2023-0051,Bihar,Gaya,24.5656,84.8027,Power Transmission,Power Grid Corp,9.4,126,56225000,57.1,0,2023-04-27,Stage 3 of 5,55.8,Medium,327,2026-08-17,0.062,N,2,194730000,Completed,2024-03-31,,On Time,seed_officer_016
LA-2022-0052,Rajasthan,Jaipur,27.3512,73.894,Highway,NHAI,2.3,6,17889000,26.5,0,2022-12-09,Stage 1 of 5,32.0,Medium,149,2026-06-16,0.323,Y,285,59190000,Ongoing,,True,,seed_officer_032
LA-2021-0053,Maharashtra,Satara,20.2565,75.8539,Industrial Corridor,State Industrial Dev. Corp,6.5,27,49357000,36.1,3,2021-07-12,Stage 2 of 5,13.5,Medium,410,2026-07-19,0.489,Y,863,163750000,Ongoing,,False,,seed_officer_035
LA-2023-0054,Karnataka,Mysuru,15.6163,75.289,Highway,NHAI,15.4,48,57178000,31.4,0,2023-08-27,Stage 1 of 5,17.9,Medium,165,2026-08-19,0.226,N,12,184380000,Completed,2023-12-12,,On Time,seed_officer_031
LA-2024-0055,Maharashtra,Thane,19.956,76.2558,Highway,NHAI,12.8,60,89422000,100.0,0,2024-03-28,Stage 5 of 5,79.2,High,319,2026-08-24,0.136,N,9,350290000,Ongoing,,,,seed_officer_017
LA-2021-0056,Karnataka,Hubballi-Dharwad,14.8153,75.1863,Highway,NHAI,19.6,33,134462000,26.8,0,2021-10-21,Stage 1 of 5,27.8,Medium,20,2026-08-30,0.288,N,3,705040000,Completed,2024-03-12,,On Time,seed_officer_035
LA-2021-0057,Bihar,Gaya,25.538,85.5857,Industrial Corridor,DMIC/NICDC,8.3,9,74939000,55.8,0,2021-07-16,Stage 3 of 5,46.6,Medium,172,2026-03-12,0.316,Y,323,362430000,Completed,2022-02-07,False,Delayed - Unresolved,seed_officer_026
LA-2021-0058,Tamil Nadu,Madurai,11.4068,78.2148,Industrial Corridor,DMIC/NICDC,22.0,68,98356000,73.5,0,2021-09-19,Stage 4 of 5,65.2,Medium,106,2026-09-03,0.011,N,29,367440000,Completed,2025-05-29,,On Time,seed_officer_034
LA-2021-0059,Maharashtra,Aurangabad,20.3153,75.6584,Highway,NHAI,2.5,16,14623000,100.0,1,2021-07-25,Stage 5 of 5,68.9,Medium,361,2026-08-29,0.141,N,18,45290000,Completed,2024-12-20,,On Time,seed_officer_016
LA-2024-0060,Gujarat,Surat,21.6997,71.7764,Highway,NHAI,5.4,36,16402000,0.0,12,2024-05-17,Stage 1 of 5,4.5,High,256,2026-08-09,1.0,Y,2200,77520000,Ongoing,,False,,seed_officer_022
LA-2025-0061,Uttar Pradesh,Lucknow,27.0548,81.5101,Highway,NHAI,14.5,36,52095000,100.0,1,2025-05-15,Stage 5 of 5,91.7,High,160,2026-07-30,0.049,N,23,192860000,Ongoing,,,,seed_officer_038
LA-2023-0062,Madhya Pradesh,Indore,23.3656,78.8573,Irrigation/Water Res.,State Water Resources Dept,21.1,36,94949000,91.5,0,2023-03-03,Stage 5 of 5,93.9,High,225,2026-08-14,0.0,N,16,313930000,Completed,2023-12-05,,On Time,seed_officer_005
LA-2020-0063,Andhra Pradesh,Visakhapatnam,16.3556,79.5908,Highway,NHAI,7.1,12,46352000,72.3,0,2020-12-01,Stage 3 of 5,55.1,Low,67,2026-08-26,0.173,N,16,190990000,Completed,2023-11-09,,On Time,seed_officer_005
LA-2025-0064,Gujarat,Ahmedabad,22.8005,71.609,Power Transmission,State Electricity Board,8.8,39,53176000,85.5,0,2025-04-02,Stage 5 of 5,80.3,Low,195,2026-08-31,0.064,N,1,264090000,Ongoing,,,,seed_officer_005
LA-2022-0065,Uttar Pradesh,Agra,26.6154,81.3098,Irrigation/Water Res.,State Water Resources Dept,27.1,193,139305000,20.4,5,2022-06-12,Stage 3 of 5,12.0,Low,271,2026-07-01,0.72,Y,808,832130000,Ongoing,,False,,seed_officer_018
LA-2023-0066,Andhra Pradesh,Kurnool,15.9447,79.2748,Highway,NHAI,20.5,302,241571000,60.8,0,2023-07-28,Stage 3 of 5,59.2,Low,126,2026-08-31,0.263,N,25,852070000,Completed,2026-04-08,,On Time,seed_officer_035
LA-2024-0067,Odisha,Cuttack,20.5313,85.0072,Highway,State PWD,25.9,75,154358000,66.7,0,2024-01-05,Stage 4 of 5,59.4,Medium,189,2026-07-12,0.363,Y,135,535060000,Ongoing,,False,,seed_officer_016
LA-2024-0068,Maharashtra,Satara,19.2764,75.9831,Irrigation/Water Res.,State Water Resources Dept,71.9,198,621239000,61.4,0,2024-06-23,Stage 3 of 5,41.9,High,422,2026-09-01,0.201,N,15,2313200000,Ongoing,,,,seed_officer_027
LA-2025-0069,Karnataka,Mysuru,14.9943,75.6621,Highway,NHAI,19.8,69,193668000,26.8,0,2025-11-24,Stage 1 of 5,12.8,Medium,212,2026-08-20,0.317,Y,130,684380000,Ongoing,,False,,seed_officer_007
LA-2021-0070,Madhya Pradesh,Gwalior,22.655,78.5361,Highway,State PWD,49.0,205,328649000,85.1,0,2021-05-25,Stage 5 of 5,72.6,Low,156,2026-09-01,0.075,N,6,1498870000,Completed,2024-08-01,,On Time,seed_officer_028
LA-2026-0071,Gujarat,Rajkot,22.0253,71.0688,Railway,State Railway Infra Corp,23.3,108,112338000,63.0,0,2026-02-17,Stage 3 of 5,57.3,Medium,342,2026-09-01,0.166,N,25,726740000,Ongoing,,,,seed_officer_004
LA-2023-0072,Maharashtra,Raigad,19.4198,76.2627,Irrigation/Water Res.,State Water Resources Dept,11.0,49,56196000,84.7,0,2023-12-22,Stage 4 of 5,72.1,Medium,71,2026-09-02,0.117,N,1,317430000,Completed,2025-01-29,,On Time,seed_officer_004
LA-2024-0073,Maharashtra,Aurangabad,20.0836,75.2603,Irrigation/Water Res.,State Water Resources Dept,6.7,46,23854000,19.3,4,2024-06-14,Stage 2 of 5,9.5,High,200,2026-08-04,0.683,Y,300,133670000,Ongoing,,True,,seed_officer_007
LA-2023-0074,Andhra Pradesh,Vijayawada,15.4342,79.9706,Highway,NHAI,19.0,74,130368000,86.0,0,2023-12-19,Stage 4 of 5,79.8,Medium,71,2026-08-28,0.185,N,11,703260000,Completed,2025-01-11,,On Time,seed_officer_013
LA-2023-0075,West Bengal,Nadia,22.6851,87.4156,Railway,Ministry of Railways,23.3,216,129807000,0.0,12,2023-05-21,Stage 1 of 5,0.0,Medium,310,2026-07-24,1.27,Y,895,436370000,Ongoing,,False,,seed_officer_028
LA-2023-0076,Andhra Pradesh,Vijayawada,15.7863,79.6913,Industrial Corridor,DMIC/NICDC,7.1,19,37304000,79.3,4,2023-05-18,Stage 5 of 5,67.2,Medium,327,2026-08-30,0.281,N,33,114260000,Completed,2025-01-28,,On Time,seed_officer_030
LA-2021-0077,Karnataka,Mysuru,15.332,75.9302,Highway,NHAI,12.8,61,32362000,59.4,0,2021-08-19,Stage 3 of 5,52.8,High,160,2026-08-12,0.086,N,11,197640000,Completed,2026-04-16,,On Time,seed_officer_029
LA-2022-0078,Maharashtra,Satara,19.2501,76.2753,Highway,NHAI,3.3,23,13178000,9.5,8,2022-05-23,Stage 2 of 5,17.7,Medium,201,2026-06-22,0.915,Y,180,39450000,Ongoing,,False,,seed_officer_004
LA-2021-0079,Tamil Nadu,Tiruchirappalli,10.7151,78.1094,Highway,NHAI,7.8,38,52111000,90.7,1,2021-09-03,Stage 5 of 5,75.4,Medium,270,2026-08-10,0.095,N,29,156120000,Completed,2022-05-31,,On Time,seed_officer_006
LA-2022-0080,Tamil Nadu,Coimbatore,10.7924,79.231,Industrial Corridor,State Industrial Dev. Corp,5.1,27,28693000,92.2,1,2022-07-01,Stage 5 of 5,71.9,High,191,2026-08-19,0.021,N,27,111020000,Completed,2022-11-24,,On Time,seed_officer_027
LA-2021-0081,Gujarat,Rajkot,22.0158,71.2704,Industrial Corridor,DMIC/NICDC,22.1,156,96883000,92.2,0,2021-08-13,Stage 5 of 5,84.4,Low,199,2026-08-19,0.146,N,5,309510000,Completed,2021-11-11,,On Time,seed_officer_014
LA-2023-0082,Uttar Pradesh,Meerut,26.6732,81.2868,Irrigation/Water Res.,State Water Resources Dept,4.5,11,21057000,56.7,0,2023-03-02,Stage 2 of 5,54.4,Low,258,2026-09-03,0.185,N,0,135140000,Completed,2024-02-02,,On Time,seed_officer_004
LA-2023-0083,Andhra Pradesh,Vijayawada,16.2659,79.2516,Irrigation/Water Res.,State Water Resources Dept,120.6,353,800257000,43.8,0,2023-09-28,Stage 1 of 5,52.9,Low,305,2026-08-20,0.187,N,2,2674790000,Completed,2023-12-08,,On Time,seed_officer_001
LA-2024-0084,Uttar Pradesh,Varanasi,27.2369,80.9706,Railway,State Railway Infra Corp,22.8,56,104364000,80.5,0,2024-11-26,Stage 4 of 5,74.2,Medium,347,2026-08-31,0.171,N,1,328230000,Ongoing,,,,seed_officer_030
LA-2024-0085,Andhra Pradesh,Guntur,15.9991,79.8453,Highway,State PWD,4.6,10,11230000,11.3,8,2024-04-15,Stage 3 of 5,0.0,High,161,2026-08-06,0.962,Y,336,67600000,Ongoing,,False,,seed_officer_036
LA-2024-0086,Gujarat,Rajkot,22.1829,71.4678,Industrial Corridor,State Industrial Dev. Corp,57.5,279,493168000,16.2,1,2024-10-04,Stage 1 of 5,22.6,High,111,2026-08-22,0.327,Y,19,2720530000,Ongoing,,False,,seed_officer_013
LA-2022-0087,Maharashtra,Nashik,19.8951,75.7883,Railway,Ministry of Railways,43.1,89,169647000,82.5,0,2022-11-20,Stage 5 of 5,64.8,Medium,92,2026-08-31,0.18,N,12,492590000,Completed,2025-08-13,,On Time,seed_officer_004
LA-2024-0088,West Bengal,Kolkata,22.6064,87.2814,Industrial Corridor,DMIC/NICDC,7.8,30,55413000,96.4,0,2024-08-25,Stage 5 of 5,78.3,Medium,186,2026-09-01,0.0,N,9,163390000,Ongoing,,,,seed_officer_004
LA-2021-0089,Rajasthan,Jaipur,27.2266,74.1727,Railway,State Railway Infra Corp,28.7,382,283980000,77.9,0,2021-08-09,Stage 5 of 5,65.9,High,322,2026-09-03,0.164,N,21,1620420000,Completed,2026-06-14,,On Time,seed_officer_033
LA-2022-0090,Rajasthan,Jodhpur,27.4685,73.9045,Railway,Ministry of Railways,36.4,130,207616000,62.0,0,2022-03-15,Stage 3 of 5,43.9,Low,294,2026-08-31,0.174,N,4,745390000,Completed,2026-01-06,,On Time,seed_officer_033
LA-2023-0091,Gujarat,Ahmedabad,21.8482,71.4275,Industrial Corridor,State Industrial Dev. Corp,34.8,94,161607000,79.3,1,2023-09-06,Stage 4 of 5,73.0,Medium,97,2026-08-31,0.277,N,60,926180000,Completed,2024-10-31,,On Time,seed_officer_005
LA-2024-0092,Tamil Nadu,Tiruchirappalli,10.7262,79.1152,Railway,Ministry of Railways,47.9,820,493209000,91.2,1,2024-06-24,Stage 5 of 5,84.9,Medium,258,2026-08-28,0.132,N,31,2480080000,Ongoing,,,,seed_officer_016
LA-2023-0093,Maharashtra,Aurangabad,19.2561,75.9768,Railway,Ministry of Railways,20.6,107,150408000,66.2,0,2023-10-18,Stage 3 of 5,56.1,Medium,245,2026-08-20,0.126,N,5,917520000,Completed,2025-06-04,,On Time,seed_officer_037
LA-2025-0094,Rajasthan,Jodhpur,26.6964,74.6223,Highway,NHAI,56.7,422,284004000,81.7,0,2025-08-11,Stage 4 of 5,71.7,Low,205,2026-09-01,0.184,N,31,1545040000,Ongoing,,,,seed_officer_040
LA-2025-0095,Andhra Pradesh,Visakhapatnam,15.7683,79.4121,Railway,State Railway Infra Corp,13.3,24,70267000,84.7,0,2025-01-27,Stage 4 of 5,67.6,Low,217,2026-08-31,0.161,N,24,205120000,Ongoing,,,,seed_officer_038
LA-2022-0096,Karnataka,Belagavi,15.083,76.1092,Highway,State PWD,22.9,274,104315000,68.2,0,2022-06-05,Stage 3 of 5,73.3,Low,64,2026-08-22,0.049,N,60,407060000,Completed,2023-09-11,,On Time,seed_officer_014
LA-2020-0097,Odisha,Sundargarh,20.3933,85.1979,Urban Infra/Metro,State Metro Rail Corp,17.5,145,175923000,70.0,0,2020-11-22,Stage 4 of 5,58.4,Medium,163,2026-08-30,0.139,N,44,571620000,Completed,2026-03-06,,On Time,seed_officer_017
LA-2021-0098,Uttar Pradesh,Varanasi,26.8615,80.4713,Railway,Ministry of Railways,116.0,374,817398000,47.8,0,2021-04-20,Stage 2 of 5,36.0,High,196,2026-08-27,0.134,N,8,2977730000,Completed,2026-04-12,,On Time,seed_officer_020
LA-2022-0099,Tamil Nadu,Salem,10.8639,78.3053,Railway,State Railway Infra Corp,12.4,28,78907000,13.8,4,2022-06-16,Stage 1 of 5,6.0,Medium,207,2026-08-08,0.752,Y,410,346120000,Ongoing,,False,,seed_officer_005
LA-2025-0100,Rajasthan,Jaipur,27.2289,73.9277,Irrigation/Water Res.,State Water Resources Dept,9.7,78,95023000,23.2,0,2025-09-24,Stage 1 of 5,21.1,Medium,124,2026-08-17,0.356,Y,80,545470000,Ongoing,,True,,seed_officer_040
LA-2022-0101,Odisha,Khordha,20.4369,84.5947,Railway,Ministry of Railways,19.1,101,108583000,54.6,1,2022-08-31,Stage 3 of 5,43.2,Medium,218,2026-08-13,0.442,Y,512,650670000,Completed,2022-11-20,True,Delayed - Resolved,seed_officer_035
LA-2020-0102,Gujarat,Surat,22.0705,71.4674,Irrigation/Water Res.,State Water Resources Dept,37.6,199,282517000,100.0,0,2020-10-28,Stage 5 of 5,79.4,Medium,57,2026-08-07,0.222,N,1,1853030000,Completed,2023-07-17,,On Time,seed_officer_009
LA-2021-0103,Karnataka,Belagavi,15.5434,75.5634,Highway,NHAI,24.8,38,107094000,61.3,0,2021-08-08,Stage 3 of 5,56.5,Low,269,2026-08-26,0.194,N,27,408850000,Completed,2023-10-12,,On Time,seed_officer_016
