project_id,state,district,latitude,longitude,project_type,implementing_department,land_area_hectares,families_affected,compensation_assessed_inr,compensation_disbursed_pct,legal_disputes_count,notification_date,approval_stage,rr_progress_pct,stakeholder_responsiveness,historical_dept_avg_delay_days,last_activity_date,risk_score_raw,delayed,delay_days
LA-2022-0010,Tamil Nadu,Salem,11.5462,78.846,Irrigation/Water Res.,State Water Resources Dept,13.2,30,55712000,47.5,0,2022-05-20,Stage 3 of 5,31.9,Medium,269,2026-06-24,0.331,Y,371
LA-2024-0011,Maharashtra,Satara,20.345,75.6778,Highway,NHAI,4.0,23,22037000,99.1,0,2024-08-01,Stage 5 of 5,75.7,High,50,2026-07-21,0.0,N,12
LA-2022-0012,Karnataka,Mysuru,15.4014,75.2305,Irrigation/Water Res.,State Water Resources Dept,10.4,83,95759000,79.4,0,2022-11-20,Stage 4 of 5,52.0,Medium,120,2026-08-22,0.097,N,1
LA-2025-0013,Maharashtra,Nashik,20.2154,75.147,Irrigation/Water Res.,State Water Resources Dept,25.7,315,192718000,67.6,1,2025-10-23,Stage 4 of 5,52.7,Low,319,2026-07-20,0.435,Y,548
LA-2024-0014,Maharashtra,Nagpur,19.2135,75.7515,Irrigation/Water Res.,State Water Resources Dept,56.1,373,374822000,56.1,0,2024-06-05,Stage 3 of 5,56.1,Low,192,2026-08-25,0.202,N,17
LA-2020-0015,Madhya Pradesh,Jabalpur,22.9042,78.3446,Highway,NHAI,21.0,308,198374000,26.6,4,2020-10-08,Stage 2 of 5,30.3,Medium,181,2026-08-06,0.514,Y,90
LA-2024-0016,Tamil Nadu,Chennai,11.2892,78.1113,Railway,State Railway Infra Corp,15.0,62,105834000,100.0,0,2024-01-22,Stage 5 of 5,88.4,High,276,2026-08-07,0.102,N,2
LA-2024-0017,Rajasthan,Jaipur,27.1749,74.6024,Irrigation/Water Res.,State Water Resources Dept,83.8,178,382688000,66.1,1,2024-02-21,Stage 4 of 5,50.3,Low,256,2026-06-30,0.389,Y,986
LA-2026-0018,Odisha,Sundargarh,20.6901,84.7114,Industrial Corridor,DMIC/NICDC,3.3,8,16419000,40.1,0,2026-02-05,Stage 2 of 5,42.0,Medium,165,2026-08-27,0.517,Y,60
LA-2025-0019,West Bengal,Kolkata,23.4034,87.6809,Urban Infra/Metro,Urban Dev. Authority,7.7,29,20058000,79.2,0,2025-02-11,Stage 3 of 5,75.0,High,259,2026-08-19,0.102,N,0
LA-2021-0020,Bihar,Darbhanga,25.5613,85.1342,Highway,NHAI,7.3,41,21621000,12.5,5,2021-08-03,Stage 2 of 5,11.1,Low,87,2026-07-27,0.811,Y,227
LA-2023-0021,Madhya Pradesh,Gwalior,23.0837,78.4772,Industrial Corridor,State Industrial Dev. Corp,2.0,10,8722000,53.6,2,2023-02-05,Stage 3 of 5,37.3,Medium,228,2026-08-20,0.378,Y,82
LA-2021-0022,West Bengal,Hooghly,22.4014,88.4189,Highway,State PWD,7.7,34,24861000,32.9,1,2021-12-25,Stage 1 of 5,19.0,Medium,342,2026-08-14,0.359,Y,295
LA-2022-0023,Uttar Pradesh,Agra,27.0229,80.8121,Highway,NHAI,8.0,13,40620000,55.8,0,2022-11-07,Stage 3 of 5,52.4,High,296,2026-07-21,0.298,N,8
LA-2022-0024,Rajasthan,Jaipur,26.4781,73.6495,Railway,Ministry of Railways,21.5,34,200638000,27.7,1,2022-02-22,Stage 1 of 5,42.7,Medium,194,2026-08-19,0.437,Y,575
LA-2025-0025,Uttar Pradesh,Kanpur,26.5484,80.6759,Highway,NHAI,34.2,165,137813000,67.0,0,2025-07-13,Stage 3 of 5,68.7,Medium,223,2026-08-25,0.227,N,7
LA-2024-0026,Maharashtra,Satara,20.0577,75.8583,Industrial Corridor,DMIC/NICDC,19.1,54,93828000,58.3,3,2024-01-15,Stage 4 of 5,29.2,High,409,2026-06-20,0.447,Y,87
LA-2020-0027,Bihar,Patna,25.5066,85.6358,Highway,NHAI,18.5,50,70462000,16.2,1,2020-10-03,Stage 1 of 5,18.6,Medium,205,2026-08-26,0.49,Y,140
LA-2021-0028,Uttar Pradesh,Meerut,26.581,80.5586,Highway,NHAI,25.9,92,132704000,42.7,2,2021-02-19,Stage 3 of 5,37.5,Low,429,2026-05-08,0.417,Y,673
LA-2022-0029,Uttar Pradesh,Varanasi,27.1586,80.9837,Industrial Corridor,DMIC/NICDC,23.6,48,173321000,56.5,0,2022-09-05,Stage 3 of 5,39.0,Medium,146,2026-07-28,0.135,N,1
LA-2024-0030,Tamil Nadu,Salem,11.342,79.0039,Railway,State Railway Infra Corp,17.6,35,132830000,64.8,0,2024-07-20,Stage 3 of 5,63.5,Low,20,2026-08-26,0.19,N,40
LA-2021-0031,Uttar Pradesh,Noida,26.6851,80.9316,Power Transmission,State Electricity Board,19.2,137,83338000,47.8,0,2021-09-20,Stage 2 of 5,48.1,Medium,316,2026-08-25,0.152,N,3
LA-2025-0032,Bihar,Bhagalpur,25.1052,85.004,Highway,NHAI,4.2,32,18981000,33.1,1,2025-06-23,Stage 1 of 5,22.3,Low,329,2026-08-12,0.439,Y,276
LA-2023-0033,Madhya Pradesh,Jabalpur,23.3701,79.2149,Highway,NHAI,147.0,618,493016000,31.7,0,2023-08-31,Stage 1 of 5,32.3,High,247,2026-08-16,0.255,N,4
LA-2024-0034,Madhya Pradesh,Indore,22.7528,78.7629,Industrial Corridor,State Industrial Dev. Corp,24.8,286,228196000,29.8,5,2024-09-02,Stage 3 of 5,33.6,High,20,2026-05-06,0.571,Y,44
LA-2023-0035,Andhra Pradesh,Vijayawada,15.48,80.0928,Irrigation/Water Res.,State Water Resources Dept,39.2,158,133968000,72.6,1,2023-06-27,Stage 4 of 5,80.1,High,206,2026-08-21,0.15,N,7
LA-2024-0036,Tamil Nadu,Salem,11.1298,78.7047,Railway,State Railway Infra Corp,58.7,150,391962000,32.8,0,2024-01-04,Stage 2 of 5,42.8,Medium,206,2026-04-29,0.505,Y,293
LA-2022-0037,Gujarat,Bharuch,22.4947,71.6994,Industrial Corridor,State Industrial Dev. Corp,17.2,81,106508000,85.9,0,2022-08-02,Stage 5 of 5,69.7,Low,130,2026-08-27,0.149,N,6
LA-2021-0038,Uttar Pradesh,Kanpur,26.9762,80.8014,Industrial Corridor,DMIC/NICDC,11.6,71,43270000,90.0,0,2021-10-09,Stage 5 of 5,89.2,Medium,127,2026-08-24,0.043,N,2
LA-2023-0039,Gujarat,Ahmedabad,22.1614,71.6902,Railway,Ministry of Railways,4.3,55,36287000,72.0,0,2023-02-24,Stage 3 of 5,62.3,Low,267,2026-08-24,0.091,N,7
LA-2023-0040,Odisha,Khordha,20.771,85.0604,Irrigation/Water Res.,State Water Resources Dept,6.0,51,38257000,59.8,0,2023-06-20,Stage 3 of 5,63.3,Low,20,2026-08-24,0.258,N,43
LA-2020-0041,Uttar Pradesh,Varanasi,27.0195,80.8367,Highway,State PWD,13.1,73,34473000,40.8,0,2020-09-26,Stage 2 of 5,17.6,Medium,325,2026-08-06,0.295,N,19
LA-2023-0042,West Bengal,Kolkata,23.1106,88.2232,Urban Infra/Metro,State Metro Rail Corp,39.7,30,257721000,11.8,2,2023-02-24,Stage 1 of 5,19.3,High,176,2026-07-19,0.396,Y,129
LA-2024-0043,Uttar Pradesh,Agra,26.9957,80.8375,Irrigation/Water Res.,State Water Resources Dept,3.4,12,26276000,68.3,0,2024-04-09,Stage 4 of 5,56.9,Medium,399,2026-08-25,0.216,N,18
LA-2026-0044,Uttar Pradesh,Noida,27.0208,80.8522,Highway,State PWD,21.5,128,198031000,75.2,2,2026-02-11,Stage 4 of 5,68.7,Low,391,2026-08-04,0.401,Y,238
LA-2022-0045,Andhra Pradesh,Kurnool,15.9356,79.1964,Highway,State PWD,26.0,76,103319000,64.6,0,2022-08-04,Stage 3 of 5,62.4,High,346,2026-08-23,0.187,N,2
LA-2021-0046,Uttar Pradesh,Noida,26.8945,80.5406,Power Transmission,State Electricity Board,14.8,76,76042000,54.6,0,2021-08-16,Stage 3 of 5,30.8,High,172,2026-08-15,0.258,N,4
LA-2021-0047,Andhra Pradesh,Vijayawada,15.4228,80.2408,Highway,NHAI,39.5,141,270814000,84.0,0,2021-04-17,Stage 4 of 5,79.7,High,333,2026-08-25,0.094,N,17
LA-2023-0048,Tamil Nadu,Tiruchirappalli,10.5801,78.7628,Urban Infra/Metro,Urban Dev. Authority,31.8,41,89536000,100.0,0,2023-10-06,Stage 5 of 5,84.6,High,253,2026-08-24,0.0,N,26
LA-2024-0049,Tamil Nadu,Tiruchirappalli,10.8031,78.2016,Highway,State PWD,36.5,57,83733000,73.2,0,2024-11-05,Stage 3 of 5,63.7,Medium,350,2026-06-24,0.116,N,9
LA-2023-0050,Maharashtra,Thane,19.3741,75.5747,Urban Infra/Metro,Urban Dev. Authority,40.3,150,175490000,58.6,0,2023-09-11,Stage 3 of 5,41.0,Low,289,2026-08-27,0.127,N,5
LA-2023-0051,Maharashtra,Nashik,19.1729,76.2992,Railway,Ministry of Railways,7.2,77,87962000,71.0,0,2023-08-19,Stage 4 of 5,62.8,High,303,2026-08-24,0.141,N,27
LA-2023-0052,Rajasthan,Jodhpur,26.5682,73.6742,Railway,State Railway Infra Corp,9.1,52,41699000,87.1,2,2023-04-28,Stage 5 of 5,82.0,Low,274,2026-08-17,0.204,N,3
LA-2024-0053,Tamil Nadu,Chennai,11.2232,78.1667,Power Transmission,Power Grid Corp,29.1,68,276608000,59.9,0,2024-09-29,Stage 3 of 5,41.9,Low,281,2026-08-26,0.206,N,49
LA-2020-0054,Madhya Pradesh,Bhopal,23.5632,78.1307,Power Transmission,Power Grid Corp,9.3,69,78289000,47.3,0,2020-09-12,Stage 2 of 5,46.1,High,285,2026-08-13,0.235,N,27
LA-2021-0055,Karnataka,Mysuru,15.4596,76.0172,Highway,State PWD,31.3,89,115428000,66.3,1,2021-06-21,Stage 4 of 5,53.9,Medium,113,2026-08-04,0.214,N,0
LA-2023-0056,Maharashtra,Thane,19.4915,75.136,Railway,Ministry of Railways,7.4,25,61346000,81.9,1,2023-09-21,Stage 4 of 5,66.0,Medium,225,2026-07-29,0.298,N,0
LA-2022-0057,West Bengal,Nadia,23.5495,88.1546,Highway,State PWD,4.2,47,28904000,64.5,5,2022-08-07,Stage 5 of 5,67.8,Low,204,2026-08-26,0.548,Y,540
LA-2022-0058,Rajasthan,Alwar,27.5797,73.6555,Industrial Corridor,DMIC/NICDC,3.1,12,25378000,38.6,0,2022-12-19,Stage 1 of 5,29.4,Medium,210,2026-07-16,0.316,Y,431
LA-2021-0059,Maharashtra,Thane,19.1905,76.2189,Irrigation/Water Res.,State Water Resources Dept,24.6,89,87201000,84.5,1,2021-06-01,Stage 4 of 5,58.6,Medium,326,2026-08-20,0.263,N,2
LA-2021-0060,Karnataka,Bengaluru Rural,15.192,76.2835,Industrial Corridor,DMIC/NICDC,15.9,137,175576000,0.0,12,2021-06-23,Stage 2 of 5,0.0,Medium,68,2026-07-15,1.307,Y,637
LA-2025-0061,Gujarat,Vadodara,21.7641,71.0132,Highway,NHAI,14.0,32,90411000,52.2,1,2025-10-28,Stage 2 of 5,53.6,Low,325,2026-08-12,0.311,Y,587
LA-2023-0062,Odisha,Sundargarh,20.4478,85.5723,Irrigation/Water Res.,State Water Resources Dept,30.4,100,197567000,89.5,0,2023-07-26,Stage 4 of 5,73.1,Medium,412,2026-07-30,0.107,N,20
LA-2024-0063,Bihar,Gaya,24.5485,84.9071,Highway,State PWD,2.7,7,14910000,82.6,1,2024-02-24,Stage 4 of 5,67.6,High,35,2026-08-26,0.234,N,8
LA-2022-0064,Andhra Pradesh,Visakhapatnam,16.4981,79.1881,Power Transmission,State Electricity Board,36.1,33,197863000,95.0,0,2022-04-16,Stage 4 of 5,68.0,Medium,44,2026-08-25,0.022,N,22
LA-2026-0065,Tamil Nadu,Tiruchirappalli,11.2861,78.5043,Railway,Ministry of Railways,28.8,62,77970000,61.9,0,2026-02-18,Stage 3 of 5,41.0,Medium,219,2026-08-27,0.117,N,22
LA-2022-0066,West Bengal,Kolkata,22.9313,87.5383,Highway,State PWD,46.7,186,403010000,68.7,0,2022-08-27,Stage 4 of 5,51.0,Medium,67,2026-08-08,0.037,N,11
LA-2025-0067,Karnataka,Mysuru,15.2529,76.151,Irrigation/Water Res.,State Water Resources Dept,48.7,121,138455000,19.4,2,2025-06-20,Stage 1 of 5,14.6,Medium,198,2026-06-06,0.612,Y,474
LA-2025-0068,Bihar,Bhagalpur,25.2963,84.8807,Highway,NHAI,44.6,69,319140000,72.2,1,2025-11-09,Stage 4 of 5,61.1,Low,231,2026-08-26,0.236,N,21
LA-2024-0069,Odisha,Khordha,21.4541,85.2192,Urban Infra/Metro,Urban Dev. Authority,25.9,193,135083000,39.0,0,2024-03-30,Stage 1 of 5,30.7,High,357,2026-07-13,0.312,Y,397
LA-2023-0070,Odisha,Ganjam,21.2664,85.4559,Railway,Ministry of Railways,39.2,132,86547000,80.0,0,2023-03-06,Stage 4 of 5,76.8,Medium,20,2026-08-17,0.0,N,0
LA-2024-0071,Uttar Pradesh,Lucknow,27.0178,81.2574,Railway,State Railway Infra Corp,80.8,468,836280000,51.5,2,2024-05-28,Stage 3 of 5,67.0,High,294,2026-08-27,0.396,Y,798
LA-2021-0072,Uttar Pradesh,Meerut,26.2558,81.1232,Power Transmission,State Electricity Board,18.1,68,167973000,63.4,0,2021-03-02,Stage 2 of 5,56.7,High,481,2026-08-10,0.225,N,1
LA-2023-0073,Andhra Pradesh,Vijayawada,16.485,80.1278,Irrigation/Water Res.,State Water Resources Dept,10.1,58,84274000,96.8,0,2023-08-10,Stage 5 of 5,95.9,Low,244,2026-08-04,0.105,N,13
LA-2022-0074,Rajasthan,Jodhpur,26.6975,73.8724,Irrigation/Water Res.,State Water Resources Dept,46.3,138,215782000,66.5,0,2022-07-28,Stage 3 of 5,65.4,High,128,2026-08-23,0.227,N,8
LA-2023-0075,Uttar Pradesh,Lucknow,27.2898,80.9137,Irrigation/Water Res.,State Water Resources Dept,10.0,20,36292000,65.5,0,2023-07-23,Stage 3 of 5,55.7,Low,129,2026-03-01,0.362,Y,545
LA-2024-0076,Maharashtra,Satara,19.2764,75.9831,Irrigation/Water Res.,State Water Resources Dept,10.0,31,86949000,61.4,0,2024-06-13,Stage 3 of 5,41.9,High,422,2026-08-27,0.196,N,15
LA-2022-0077,Tamil Nadu,Tiruchirappalli,11.3433,78.3339,Railway,Ministry of Railways,19.8,25,86089000,78.4,3,2022-03-19,Stage 5 of 5,52.5,Low,338,2026-05-05,0.359,Y,1162
LA-2023-0078,Uttar Pradesh,Noida,26.7259,80.5291,Urban Infra/Metro,Urban Dev. Authority,5.5,26,37203000,85.2,0,2023-07-24,Stage 4 of 5,74.0,Low,482,2026-08-26,0.06,N,7
LA-2026-0079,Uttar Pradesh,Agra,26.8584,81.3365,Highway,NHAI,5.7,34,40160000,66.8,4,2026-03-05,Stage 5 of 5,65.9,High,184,2026-08-25,0.458,Y,452
LA-2025-0080,Bihar,Bhagalpur,24.7043,85.547,Railway,State Railway Infra Corp,17.2,76,70150000,44.9,5,2025-10-14,Stage 4 of 5,47.5,High,266,2026-08-01,0.671,Y,495
LA-2024-0081,Maharashtra,Nagpur,20.0836,75.2603,Irrigation/Water Res.,State Water Resources Dept,6.4,44,22803000,19.3,4,2024-05-26,Stage 2 of 5,9.5,High,200,2026-07-27,0.683,Y,300
LA-2022-0082,Maharashtra,Raigad,19.2972,75.4778,Highway,State PWD,11.6,53,122355000,32.8,3,2022-06-03,Stage 2 of 5,35.2,High,384,2026-08-23,0.39,Y,754
LA-2023-0083,Andhra Pradesh,Kurnool,16.4695,79.4383,Highway,State PWD,2.3,25,19120000,37.9,1,2023-10-05,Stage 2 of 5,32.1,Low,255,2026-08-26,0.194,N,27
LA-2025-0084,Bihar,Muzaffarpur,24.6762,85.1027,Industrial Corridor,DMIC/NICDC,105.1,30,529874000,25.4,3,2025-02-07,Stage 2 of 5,19.6,High,172,2026-06-08,0.59,Y,170
LA-2023-0085,Andhra Pradesh,Visakhapatnam,15.853,79.4124,Power Transmission,Power Grid Corp,40.8,139,395997000,6.6,3,2023-05-11,Stage 1 of 5,18.6,Low,316,2026-08-25,0.53,Y,210
LA-2021-0086,Tamil Nadu,Coimbatore,11.4443,78.375,Highway,NHAI,26.7,199,148713000,34.9,1,2021-11-13,Stage 2 of 5,29.4,High,243,2026-08-26,0.28,N,9
LA-2023-0087,Bihar,Bhagalpur,25.6005,85.338,Irrigation/Water Res.,State Water Resources Dept,11.8,56,65817000,0.0,8,2023-07-15,Stage 2 of 5,0.0,Low,429,2026-05-30,1.099,Y,853
LA-2022-0088,Tamil Nadu,Tiruchirappalli,10.7924,79.231,Industrial Corridor,State Industrial Dev. Corp,5.1,27,28693000,92.2,1,2022-06-22,Stage 5 of 5,71.9,High,191,2026-08-10,0.021,N,27
LA-2023-0089,Gujarat,Bharuch,22.3671,71.2024,Highway,NHAI,84.0,486,686435000,51.8,0,2023-01-28,Stage 2 of 5,51.7,High,97,2026-08-16,0.157,N,31
LA-2025-0090,Andhra Pradesh,Visakhapatnam,16.2037,80.1181,Irrigation/Water Res.,State Water Resources Dept,6.8,71,62096000,19.4,0,2025-04-28,Stage 1 of 5,5.4,Low,269,2026-07-22,0.393,Y,1210
LA-2024-0091,Andhra Pradesh,Visakhapatnam,15.808,79.9747,Highway,NHAI,11.5,14,29141000,73.1,0,2024-10-13,Stage 3 of 5,59.9,Medium,166,2026-08-17,0.136,N,13
LA-2026-0092,Maharashtra,Pune,19.538,75.8777,Highway,NHAI,9.0,73,53035000,63.8,1,2026-02-27,Stage 3 of 5,45.8,Low,193,2026-04-29,0.388,Y,449
LA-2022-0093,Tamil Nadu,Madurai,11.0326,78.8203,Industrial Corridor,State Industrial Dev. Corp,13.4,25,65464000,52.7,0,2022-04-29,Stage 2 of 5,61.6,Medium,229,2026-08-23,0.212,N,22
LA-2024-0094,Rajasthan,Jodhpur,26.6944,74.0702,Railway,State Railway Infra Corp,2.0,8,15905000,92.3,0,2024-06-14,Stage 4 of 5,73.9,High,211,2026-08-11,0.0,N,2
LA-2021-0095,Tamil Nadu,Salem,11.675,78.1396,Highway,NHAI,6.8,16,59217000,59.2,0,2021-02-01,Stage 3 of 5,57.4,Low,288,2026-08-24,0.352,Y,117
LA-2025-0096,Uttar Pradesh,Agra,27.1256,81.0042,Highway,NHAI,6.1,23,51796000,84.4,3,2025-09-27,Stage 5 of 5,74.7,Medium,69,2026-08-24,0.304,Y,119
LA-2021-0097,Maharashtra,Raigad,19.4219,75.4151,Power Transmission,State Electricity Board,41.1,729,557768000,68.3,0,2021-07-22,Stage 4 of 5,63.6,High,93,2026-08-26,0.128,N,16
LA-2025-0098,Maharashtra,Nagpur,20.1859,75.6661,Industrial Corridor,DMIC/NICDC,38.5,83,193191000,69.1,1,2025-07-22,Stage 4 of 5,49.2,High,57,2026-07-30,0.241,N,31
LA-2024-0099,Rajasthan,Alwar,26.7104,74.1594,Urban Infra/Metro,State Metro Rail Corp,15.6,35,95155000,56.5,0,2024-01-27,Stage 3 of 5,46.0,Medium,132,2026-08-23,0.175,N,1
LA-2023-0100,Odisha,Khordha,20.6834,84.8733,Irrigation/Water Res.,State Water Resources Dept,2.0,20,11171000,90.6,0,2023-11-01,Stage 5 of 5,71.9,High,103,2026-08-14,0.153,N,8
LA-2022-0101,Maharashtra,Raigad,20.2104,76.0782,Railway,State Railway Infra Corp,15.3,83,123697000,88.1,0,2022-09-18,Stage 5 of 5,78.5,Medium,155,2026-07-06,0.144,N,7
LA-2024-0102,Andhra Pradesh,Guntur,15.6687,80.2418,Highway,State PWD,21.1,135,118576000,40.5,3,2024-08-15,Stage 3 of 5,30.3,Medium,357,2026-06-08,0.452,Y,1285
LA-2025-0103,Bihar,Muzaffarpur,25.671,85.4741,Highway,State PWD,64.7,84,143650000,88.5,0,2025-09-10,Stage 4 of 5,83.9,Low,172,2026-08-25,0.031,N,21
LA-2024-0104,Odisha,Khordha,21.436,84.7778,Industrial Corridor,State Industrial Dev. Corp,13.8,97,59242000,65.8,0,2024-09-19,Stage 3 of 5,34.2,High,281,2026-08-12,0.18,N,0
LA-2023-0105,Madhya Pradesh,Bhopal,22.7094,79.0869,Highway,State PWD,7.0,34,24666000,81.5,0,2023-03-25,Stage 4 of 5,91.3,Medium,232,2026-08-26,0.04,N,1
LA-2021-0106,Maharashtra,Raigad,19.8321,75.4545,Power Transmission,State Electricity Board,12.8,80,132469000,91.2,0,2021-08-31,Stage 4 of 5,84.9,Low,139,2026-08-05,0.065,N,0
LA-2022-0107,Tamil Nadu,Chennai,10.665,78.1695,Power Transmission,Power Grid Corp,46.8,341,357927000,35.0,0,2022-03-17,Stage 1 of 5,18.6,Medium,178,2026-08-21,0.268,N,44
LA-2025-0108,Odisha,Cuttack,21.1192,85.3102,Highway,NHAI,11.9,78,55449000,73.6,0,2025-04-14,Stage 4 of 5,56.3,Low,217,2026-08-24,0.121,N,0
LA-2023-0109,Uttar Pradesh,Agra,27.4125,80.7438,Railway,State Railway Infra Corp,2.3,16,11100000,61.1,4,2023-06-15,Stage 5 of 5,47.1,Medium,299,2026-08-25,0.376,Y,338
LA-2022-0110,Uttar Pradesh,Noida,27.2267,80.6877,Industrial Corridor,DMIC/NICDC,41.9,169,123317000,78.0,1,2022-01-04,Stage 5 of 5,47.7,Medium,244,2026-08-23,0.27,N,14
LA-2023-0111,Rajasthan,Jodhpur,27.5699,74.6033,Highway,State PWD,10.6,48,34127000,51.7,0,2023-12-02,Stage 2 of 5,54.8,Low,281,2026-06-29,0.389,Y,353
LA-2024-0112,Bihar,Muzaffarpur,25.2714,85.4888,Power Transmission,Power Grid Corp,35.6,141,104930000,69.4,5,2024-02-18,Stage 4 of 5,59.6,Low,133,2026-07-30,0.502,Y,188
LA-2021-0113,Gujarat,Ahmedabad,21.7112,70.74,Irrigation/Water Res.,State Water Resources Dept,51.4,93,431701000,53.1,2,2021-07-27,Stage 3 of 5,55.6,Low,91,2026-08-09,0.232,N,12
LA-2026-0114,Maharashtra,Satara,20.2191,75.1287,Railway,Ministry of Railways,15.3,47,88701000,39.3,0,2026-03-05,Stage 2 of 5,29.1,Low,342,2026-08-15,0.419,Y,327
LA-2022-0115,Karnataka,Bengaluru Rural,15.4442,75.5514,Highway,NHAI,13.6,53,47757000,97.2,0,2022-05-31,Stage 5 of 5,65.0,Medium,44,2026-08-03,0.068,N,2
LA-2020-0116,Andhra Pradesh,Visakhapatnam,15.7627,79.7088,Railway,Ministry of Railways,5.7,26,38276000,64.2,0,2020-12-08,Stage 3 of 5,42.7,Medium,212,2026-08-03,0.337,Y,356
LA-2021-0117,Andhra Pradesh,Vijayawada,15.6241,79.3735,Highway,State PWD,5.3,14,32977000,81.6,0,2021-10-07,Stage 4 of 5,65.8,Low,268,2026-08-26,0.189,N,5
LA-2021-0118,Odisha,Ganjam,20.9054,85.3755,Highway,State PWD,24.8,160,106286000,76.1,0,2021-01-16,Stage 4 of 5,67.5,High,259,2026-08-24,0.082,N,43
LA-2025-0119,Bihar,Gaya,25.6733,85.2932,Power Transmission,State Electricity Board,3.3,33,20822000,89.9,0,2025-01-31,Stage 4 of 5,68.1,High,20,2026-08-15,0.0,N,13
LA-2023-0120,Odisha,Khordha,20.9235,85.6938,Highway,NHAI,6.5,16,23980000,78.9,0,2023-08-13,Stage 4 of 5,63.1,Medium,292,2026-08-25,0.207,N,2
LA-2026-0121,Andhra Pradesh,Kurnool,16.2782,79.4745,Highway,NHAI,10.2,73,97315000,0.0,8,2026-03-18,Stage 1 of 5,4.9,High,136,2026-04-13,0.978,Y,914
LA-2023-0122,Maharashtra,Aurangabad,19.5189,75.7729,Irrigation/Water Res.,State Water Resources Dept,8.8,102,56652000,36.4,0,2023-03-20,Stage 1 of 5,37.5,Low,304,2026-08-20,0.321,Y,226
LA-2025-0123,Uttar Pradesh,Meerut,27.2109,81.4613,Railway,State Railway Infra Corp,12.8,78,63686000,13.4,2,2025-01-13,Stage 1 of 5,17.2,Medium,201,2026-06-02,0.605,Y,436
LA-2020-0124,Bihar,Bhagalpur,24.7777,85.0769,Highway,State PWD,52.5,82,380584000,46.3,3,2020-11-13,Stage 3 of 5,33.1,Low,214,2026-08-23,0.443,Y,378
LA-2023-0125,Uttar Pradesh,Kanpur,27.1358,80.7257,Highway,State PWD,4.9,13,23242000,99.8,0,2023-10-02,Stage 5 of 5,83.2,Medium,295,2026-08-15,0.045,N,27
LA-2021-0126,Maharashtra,Nagpur,19.4566,76.1645,Highway,NHAI,9.1,29,83317000,77.9,0,2021-01-13,Stage 4 of 5,61.7,High,20,2026-08-25,0.113,N,9
LA-2022-0127,Andhra Pradesh,Guntur,15.7567,79.2028,Industrial Corridor,State Industrial Dev. Corp,50.0,146,197890000,84.2,0,2022-02-27,Stage 4 of 5,79.1,Low,264,2026-08-11,0.095,N,2
LA-2026-0128,West Bengal,Kolkata,22.4494,88.0736,Railway,Ministry of Railways,7.9,37,64201000,37.2,4,2026-01-29,Stage 3 of 5,21.7,Medium,270,2026-04-02,0.398,Y,380
LA-2021-0129,Gujarat,Vadodara,22.4718,70.9666,Industrial Corridor,State Industrial Dev. Corp,16.7,72,48341000,75.4,0,2021-06-18,Stage 3 of 5,61.5,Medium,60,2026-08-14,0.241,N,3
